net,length_um
_03605_,13.225µm
_00770_,13.22µm
_02324_,13.22µm
_03370_,13.22µm
_04287_,13.22µm
_01237_,13.2µm
_06317_,13.2µm
_00938_,13.18µm
_02280_,13.18µm
_05397_,13.18µm
_05456_,13.18µm
_05975_,13.18µm
_05987_,13.17µm
_03055_,13.16µm
_03070_,13.16µm
_03254_,13.16µm
_05236_,13.16µm
wt_arr[4],13.15µm
_02306_,13.14µm
_04272_,13.14µm
_04475_,13.14µm
_05829_,13.14µm
_00966_,13.135µm
_02981_,13.12µm
_05575_,13.12µm
_05601_,13.12µm
_05857_,13.12µm
_01367_,13.11µm
_00631_,13.1µm
_05522_,13.1µm
_03847_,13.08µm
_04998_,13.08µm
_05700_,13.08µm
_05877_,13.08µm
_03994_,13.06µm
_04926_,13.06µm
_01652_,13.04µm
_01790_,13.04µm
_02655_,13.04µm
_02951_,13.04µm
_03951_,13.04µm
_00659_,13.02µm
_01155_,13.02µm
_06364_,13.02µm
mac_acc_in1\[76\],13.02µm
_00254_,13.005µm
_05804_,13.005µm
_02679_,13µm
_03004_,13µm
_04637_,13µm
_01836_,12.98µm
_04410_,12.98µm
_05728_,12.98µm
_03985_,12.97µm
_00593_,12.96µm
_00942_,12.96µm
_03940_,12.96µm
_04176_,12.96µm
_06073_,12.96µm
_02495_,12.94µm
_03626_,12.94µm
_04087_,12.94µm
_05303_,12.935µm
_02339_,12.92µm
_01092_,12.9µm
_01153_,12.9µm
_02682_,12.9µm
_03079_,12.9µm
_05069_,12.9µm
_05114_,12.9µm
_06208_,12.9µm
_01530_,12.88µm
_03114_,12.88µm
_03541_,12.88µm
_04307_,12.88µm
_05780_,12.865µm
_05511_,12.86µm
_06115_,12.86µm
_01085_,12.84µm
_01943_,12.84µm
_02298_,12.84µm
_02575_,12.84µm
_04285_,12.84µm
_03109_,12.835µm
_04650_,12.82µm
_04820_,12.82µm
_05237_,12.815µm
_04597_,12.81µm
_04969_,12.81µm
_00627_,12.8µm
_01567_,12.8µm
_01708_,12.8µm
_01711_,12.8µm
_02171_,12.8µm
_02398_,12.8µm
_02542_,12.8µm
_03631_,12.8µm
_04646_,12.8µm
_05900_,12.8µm
_01325_,12.78µm
_03141_,12.78µm
_05897_,12.78µm
_05272_,12.77µm
_00443_,12.765µm
_01268_,12.76µm
_04096_,12.76µm
_06172_,12.76µm
_00871_,12.74µm
_05253_,12.74µm
mac_acc_out3\[106\],12.74µm
_01116_,12.72µm
_05773_,12.72µm
_00854_,12.7µm
_01480_,12.7µm
_03647_,12.7µm
_04518_,12.7µm
_05140_,12.7µm
_06049_,12.7µm
_03933_,12.68µm
_04241_,12.68µm
_04250_,12.68µm
_05874_,12.68µm
_05296_,12.67µm
_02959_,12.66µm
_00680_,12.64µm
_03050_,12.64µm
_03281_,12.64µm
_03561_,12.64µm
_03628_,12.64µm
_03901_,12.64µm
_04064_,12.64µm
_04613_,12.64µm
_00624_,12.62µm
_01810_,12.62µm
_03497_,12.62µm
_03572_,12.62µm
_05843_,12.62µm
_05871_,12.62µm
mac_acc_in1\[1\],12.62µm
_02860_,12.6µm
_05230_,12.6µm
_05690_,12.6µm
acc_out[12],12.6µm
acc_out[15],12.6µm
_01262_,12.58µm
_02314_,12.58µm
_04034_,12.58µm
_04081_,12.58µm
_04836_,12.58µm
_04853_,12.58µm
_06179_,12.58µm
_06345_,12.58µm
mac_acc_in1\[0\],12.58µm
mac_wt_in3\[7\],12.58µm
_01358_,12.56µm
_03133_,12.56µm
_03759_,12.56µm
_04261_,12.56µm
_04298_,12.56µm
_04883_,12.56µm
_05003_,12.56µm
_04641_,12.54µm
_05261_,12.54µm
_01870_,12.525µm
_02750_,12.52µm
_02778_,12.52µm
_02550_,12.51µm
wt_arr[7],12.51µm
_01646_,12.5µm
_02717_,12.5µm
_03595_,12.5µm
_05998_,12.5µm
_00374_,12.48µm
_00606_,12.48µm
_01191_,12.48µm
_01671_,12.48µm
_02926_,12.48µm
_04124_,12.48µm
mac_acc_in1\[14\],12.48µm
_01770_,12.46µm
_03156_,12.46µm
_04807_,12.46µm
_05194_,12.46µm
_06053_,12.46µm
_02735_,12.445µm
_00616_,12.44µm
_01145_,12.44µm
_03277_,12.44µm
_04999_,12.44µm
_06149_,12.44µm
_02219_,12.42µm
_02468_,12.42µm
_03552_,12.42µm
_06355_,12.42µm
net16,12.42µm
_00954_,12.395µm
_04687_,12.39µm
_01315_,12.385µm
_00849_,12.38µm
_02229_,12.38µm
_05128_,12.38µm
_05051_,12.37µm
_03033_,12.36µm
_04819_,12.36µm
data_arr[28],12.36µm
data_arr[29],12.36µm
data_arr[30],12.36µm
_00885_,12.34µm
_01461_,12.34µm
_02562_,12.34µm
_02977_,12.34µm
_04900_,12.34µm
_05008_,12.34µm
_05316_,12.34µm
_03010_,12.32µm
_05750_,12.32µm
_04149_,12.31µm
_00863_,12.3µm
_05180_,12.3µm
_05658_,12.3µm
_04414_,12.28µm
_05763_,12.28µm
_03451_,12.26µm
_03723_,12.26µm
_03972_,12.26µm
_05831_,12.26µm
_06290_,12.26µm
_04210_,12.25µm
_00537_,12.24µm
_02885_,12.24µm
_05393_,12.24µm
_06096_,12.24µm
_01037_,12.22µm
_01432_,12.22µm
_01604_,12.22µm
_01728_,12.22µm
_03441_,12.22µm
_04729_,12.22µm
_05171_,12.22µm
_05469_,12.22µm
_05497_,12.22µm
_05992_,12.22µm
_00444_,12.205µm
_01195_,12.2µm
_01347_,12.2µm
_01750_,12.2µm
_01788_,12.2µm
_01846_,12.2µm
_02383_,12.2µm
_02686_,12.2µm
_05007_,12.2µm
_05985_,12.2µm
_00819_,12.18µm
_02408_,12.18µm
_05693_,12.18µm
data_arr[1],12.17µm
_02251_,12.165µm
_00764_,12.16µm
_01290_,12.16µm
_01995_,12.16µm
_02323_,12.16µm
_02382_,12.16µm
_02393_,12.16µm
_03938_,12.16µm
_04710_,12.16µm
_04829_,12.16µm
_05308_,12.16µm
_05518_,12.16µm
_06347_,12.16µm
_03535_,12.15µm
_01669_,12.14µm
_03089_,12.14µm
_03223_,12.14µm
_03746_,12.14µm
_06261_,12.14µm
_00396_,12.125µm
_01114_,12.12µm
_01317_,12.12µm
_01503_,12.12µm
_02504_,12.12µm
_03204_,12.12µm
_03424_,12.12µm
_04190_,12.12µm
_04893_,12.12µm
_04936_,12.12µm
_04951_,12.12µm
_04575_,12.115µm
_01922_,12.1µm
_03128_,12.1µm
_03506_,12.1µm
_04402_,12.1µm
_04937_,12.1µm
wt_arr[2],12.09µm
_00845_,12.08µm
_01028_,12.08µm
_03449_,12.08µm
_04405_,12.08µm
_05629_,12.065µm
_00721_,12.06µm
_00791_,12.06µm
_04724_,12.06µm
_04923_,12.06µm
net148,12.06µm
_01490_,12.04µm
_05740_,12.04µm
_05783_,12.04µm
_02215_,12.03µm
wt_arr[20],12.03µm
_00497_,12.02µm
_01676_,12.02µm
_02508_,12.02µm
_04616_,12.02µm
_04911_,12.02µm
_06262_,12.02µm
_06289_,12.02µm
_01274_,12µm
_03214_,12µm
_03295_,12µm
_03942_,12µm
_04468_,12µm
clknet_leaf_24_clk,12µm
_02657_,11.98µm
_03815_,11.98µm
_05301_,11.98µm
_05800_,11.98µm
_02714_,11.96µm
_03672_,11.96µm
_03979_,11.96µm
_04385_,11.96µm
_04522_,11.96µm
_06128_,11.96µm
_06075_,11.945µm
_00478_,11.94µm
_01981_,11.94µm
wt_arr[28],11.94µm
_01051_,11.92µm
_03531_,11.92µm
_04059_,11.92µm
wt_arr[14],11.91µm
_03467_,11.9µm
_03982_,11.9µm
_02452_,11.88µm
_02672_,11.88µm
_03000_,11.88µm
_04792_,11.88µm
_05246_,11.88µm
_05290_,11.88µm
_01184_,11.86µm
_02068_,11.86µm
_02809_,11.86µm
data_arr[10],11.86µm
_02513_,11.84µm
_02908_,11.84µm
_04018_,11.84µm
_04283_,11.84µm
_04243_,11.81µm
_04497_,11.81µm
_00955_,11.8µm
_02315_,11.8µm
_03566_,11.8µm
_04590_,11.8µm
_04767_,11.8µm
_05275_,11.8µm
_06216_,11.8µm
_01500_,11.78µm
_01529_,11.78µm
_01540_,11.78µm
_01880_,11.78µm
_01899_,11.78µm
_02671_,11.78µm
_03365_,11.78µm
_04452_,11.78µm
_05434_,11.78µm
_05519_,11.78µm
_00242_,11.765µm
_01157_,11.76µm
_04866_,11.76µm
_00184_,11.745µm
_02057_,11.74µm
_04781_,11.74µm
_05569_,11.74µm
mac_acc_out3\[111\],11.74µm
_00936_,11.735µm
_03760_,11.72µm
_04186_,11.72µm
_04672_,11.72µm
_00299_,11.705µm
_00980_,11.7µm
_01930_,11.7µm
_02805_,11.7µm
_04663_,11.7µm
_05574_,11.7µm
mac_data_in3\[18\],11.7µm
_01959_,11.68µm
_02544_,11.68µm
_03161_,11.68µm
_03623_,11.68µm
_05771_,11.68µm
acc_out[0],11.68µm
acc_out[10],11.68µm
acc_out[11],11.68µm
acc_out[13],11.68µm
acc_out[14],11.68µm
acc_out[16],11.68µm
acc_out[17],11.68µm
acc_out[18],11.68µm
acc_out[1],11.68µm
acc_out[2],11.68µm
acc_out[43],11.68µm
acc_out[45],11.68µm
acc_out[46],11.68µm
acc_out[47],11.68µm
acc_out[50],11.68µm
_00577_,11.66µm
_01102_,11.66µm
_01524_,11.66µm
_01823_,11.66µm
_01898_,11.66µm
_03984_,11.66µm
_04607_,11.66µm
_04639_,11.66µm
_04658_,11.66µm
_05004_,11.66µm
_05850_,11.66µm
_05430_,11.65µm
_01093_,11.64µm
_01576_,11.64µm
_01748_,11.64µm
_03202_,11.64µm
_03992_,11.64µm
_04973_,11.64µm
_02447_,11.63µm
_06173_,11.63µm
_00542_,11.62µm
_00847_,11.62µm
_02935_,11.62µm
_03278_,11.62µm
_03634_,11.62µm
_03755_,11.62µm
_05794_,11.6µm
mac_acc_in1\[75\],11.6µm
_00670_,11.595µm
_00830_,11.595µm
_01953_,11.58µm
_02072_,11.58µm
_02858_,11.58µm
_03015_,11.58µm
_03316_,11.58µm
_05561_,11.58µm
_00628_,11.56µm
_00789_,11.56µm
_01705_,11.56µm
_01975_,11.56µm
_02922_,11.56µm
_03735_,11.56µm
_03965_,11.56µm
_05689_,11.56µm
mac_acc_in1\[96\],11.56µm
_00866_,11.54µm
_01842_,11.54µm
_01970_,11.54µm
_02191_,11.54µm
_03708_,11.54µm
_03728_,11.54µm
_04948_,11.54µm
_06271_,11.54µm
_06320_,11.54µm
_01511_,11.52µm
_03130_,11.52µm
_04643_,11.52µm
_05533_,11.52µm
_06300_,11.52µm
_00945_,11.5µm
_01081_,11.5µm
_03210_,11.5µm
_04335_,11.5µm
_04384_,11.5µm
_00875_,11.48µm
_01878_,11.48µm
_04481_,11.48µm
_02790_,11.47µm
_01018_,11.46µm
_01858_,11.46µm
_01895_,11.46µm
_02883_,11.46µm
_03247_,11.46µm
_04010_,11.46µm
_04041_,11.46µm
_04154_,11.46µm
_04629_,11.46µm
_04700_,11.46µm
_04868_,11.46µm
_04990_,11.46µm
_05442_,11.46µm
_00665_,11.44µm
_02560_,11.44µm
_02680_,11.44µm
_04196_,11.44µm
net743,11.44µm
net746,11.44µm
net706,11.44µm
net711,11.44µm
net712,11.44µm
net735,11.44µm
data_arr[26],11.44µm
net696,11.44µm
data_arr[7],11.43µm
_02895_,11.425µm
_01976_,11.42µm
_02423_,11.42µm
_02675_,11.42µm
_02867_,11.42µm
_03668_,11.42µm
_05201_,11.42µm
_05735_,11.42µm
_05844_,11.42µm
_01126_,11.41µm
_01771_,11.4µm
_02601_,11.4µm
_03121_,11.4µm
_04308_,11.39µm
_01559_,11.38µm
_03171_,11.38µm
_05682_,11.38µm
_02631_,11.36µm
_00971_,11.345µm
_03404_,11.34µm
_05483_,11.34µm
_05988_,11.34µm
_01254_,11.32µm
_02471_,11.32µm
_02974_,11.32µm
_04811_,11.32µm
_00965_,11.31µm
_02258_,11.31µm
_02742_,11.31µm
_03753_,11.3µm
_04052_,11.3µm
_04446_,11.3µm
_04620_,11.3µm
_05241_,11.3µm
_05484_,11.3µm
_02209_,11.28µm
_05414_,11.28µm
net58,11.28µm
_02470_,11.26µm
_02900_,11.26µm
_03757_,11.26µm
_03900_,11.26µm
_02370_,11.25µm
_01100_,11.24µm
_01594_,11.24µm
_01978_,11.24µm
_04486_,11.24µm
_05737_,11.24µm
_06100_,11.24µm
net82,11.24µm
_03064_,11.22µm
_03425_,11.22µm
_03692_,11.22µm
_03714_,11.22µm
_04172_,11.22µm
_04274_,11.22µm
_04325_,11.22µm
_05225_,11.22µm
_05355_,11.22µm
_06255_,11.22µm
acc_out[3],11.22µm
acc_out[42],11.22µm
acc_out[44],11.22µm
acc_out[48],11.22µm
acc_out[49],11.22µm
acc_out[4],11.22µm
acc_out[9],11.22µm
_02231_,11.2µm
_04074_,11.2µm
_04084_,11.2µm
_04503_,11.2µm
_05010_,11.2µm
_05132_,11.2µm
_05269_,11.2µm
_05461_,11.2µm
_05645_,11.2µm
_05790_,11.2µm
_05793_,11.2µm
_06370_,11.2µm
mac_acc_in2\[45\],11.2µm
_01900_,11.195µm
_03667_,11.18µm
_04425_,11.18µm
_04755_,11.18µm
_05025_,11.18µm
_05478_,11.18µm
_05715_,11.18µm
_01734_,11.16µm
_02185_,11.16µm
_03372_,11.16µm
_04236_,11.16µm
_06353_,11.15µm
_04881_,11.14µm
_05220_,11.14µm
_01525_,11.12µm
_02407_,11.12µm
_02654_,11.12µm
_02938_,11.12µm
_04046_,11.12µm
_05139_,11.12µm
_05741_,11.12µm
mac_acc_in1\[10\],11.12µm
net93,11.12µm
_00974_,11.1µm
_01429_,11.1µm
_01465_,11.1µm
_01832_,11.1µm
_01932_,11.1µm
_03433_,11.1µm
_03444_,11.1µm
_05207_,11.1µm
_05923_,11.1µm
_00806_,11.08µm
_01945_,11.08µm
_02540_,11.08µm
_02741_,11.08µm
_03288_,11.08µm
_03551_,11.08µm
_04133_,11.08µm
_04136_,11.08µm
_04582_,11.08µm
_04609_,11.08µm
_04721_,11.08µm
_04766_,11.08µm
_05720_,11.08µm
_01539_,11.06µm
_03194_,11.06µm
_03892_,11.06µm
_03968_,11.055µm
_00667_,11.04µm
_01069_,11.04µm
_01323_,11.04µm
_02311_,11.04µm
_03802_,11.04µm
_06084_,11.04µm
mac_acc_in3\[45\],11.035µm
_05265_,11.025µm
_03635_,11.02µm
_04009_,11.02µm
_04228_,11.01µm
_04788_,11.005µm
_01650_,11µm
_03956_,11µm
_05104_,11µm
_06215_,11µm
_00633_,10.98µm
_01387_,10.98µm
_03860_,10.975µm
_01171_,10.97µm
_00947_,10.96µm
_04219_,10.96µm
_04284_,10.96µm
_04989_,10.96µm
_06220_,10.96µm
_06236_,10.96µm
_06310_,10.96µm
net815,10.945µm
_02639_,10.94µm
_02919_,10.94µm
_02972_,10.94µm
_03770_,10.94µm
_05202_,10.94µm
_06046_,10.94µm
_02880_,10.935µm
_00307_,10.925µm
_02985_,10.92µm
_03614_,10.92µm
_04553_,10.92µm
_05017_,10.92µm
_05592_,10.92µm
_06326_,10.92µm
_03981_,10.9µm
_05218_,10.9µm
_05532_,10.9µm
_03615_,10.89µm
net818,10.885µm
_01385_,10.88µm
_01658_,10.88µm
_02222_,10.88µm
_02287_,10.88µm
_03423_,10.88µm
_03617_,10.88µm
_04120_,10.88µm
_05297_,10.88µm
_06063_,10.88µm
_06368_,10.88µm
_02546_,10.87µm
_01101_,10.86µm
_01580_,10.86µm
_02847_,10.86µm
_03641_,10.86µm
_04134_,10.86µm
_05738_,10.86µm
_06256_,10.86µm
mac_acc_in3\[15\],10.86µm
mac_acc_out3\[100\],10.86µm
mac_acc_out3\[13\],10.86µm
net34,10.86µm
_00704_,10.84µm
_01868_,10.84µm
_02668_,10.84µm
_03132_,10.84µm
_04789_,10.84µm
_05033_,10.84µm
_05493_,10.84µm
_05787_,10.84µm
_02189_,10.82µm
_02359_,10.82µm
_03887_,10.82µm
_04163_,10.82µm
_05709_,10.82µm
_02658_,10.8µm
_03924_,10.8µm
acc_out[107],10.8µm
_01127_,10.79µm
_01674_,10.78µm
_02449_,10.78µm
_02815_,10.78µm
_03093_,10.78µm
_03381_,10.78µm
_05268_,10.78µm
_05336_,10.78µm
_05730_,10.78µm
_05219_,10.775µm
_00327_,10.765µm
_02803_,10.76µm
_03344_,10.76µm
_03500_,10.76µm
_06224_,10.76µm
_01372_,10.75µm
acc_out[65],10.75µm
_01231_,10.74µm
_01252_,10.74µm
_02378_,10.74µm
_02404_,10.74µm
_03026_,10.74µm
_03503_,10.74µm
_04225_,10.74µm
_04563_,10.74µm
_04579_,10.74µm
_04703_,10.74µm
_05858_,10.74µm
_06260_,10.74µm
_02853_,10.72µm
_04689_,10.72µm
_04843_,10.72µm
_04919_,10.72µm
_05917_,10.72µm
_04420_,10.715µm
_00026_,10.705µm
_00598_,10.705µm
_00795_,10.7µm
_00831_,10.7µm
_01049_,10.7µm
_01216_,10.7µm
_02089_,10.7µm
_04558_,10.7µm
_03246_,10.68µm
_03609_,10.68µm
_06351_,10.68µm
_05376_,10.675µm
_00996_,10.66µm
_02437_,10.66µm
_04029_,10.66µm
_05883_,10.66µm
_05918_,10.66µm
_05963_,10.66µm
_00411_,10.64µm
_03742_,10.64µm
_03775_,10.64µm
_03783_,10.64µm
_04040_,10.64µm
_04117_,10.64µm
_04459_,10.64µm
_05076_,10.64µm
_05756_,10.64µm
_05905_,10.64µm
_01163_,10.62µm
_01369_,10.62µm
_03545_,10.62µm
_03914_,10.62µm
_05024_,10.62µm
_05452_,10.62µm
_05465_,10.62µm
_06190_,10.62µm
_02074_,10.6µm
_02084_,10.6µm
_03477_,10.6µm
_04540_,10.595µm
_00882_,10.59µm
_00820_,10.58µm
_01418_,10.58µm
_02022_,10.58µm
_02585_,10.58µm
_02739_,10.58µm
_03090_,10.58µm
_03798_,10.58µm
_04508_,10.58µm
_05071_,10.58µm
_05116_,10.58µm
clknet_leaf_54_clk,10.58µm
_04645_,10.575µm
_01726_,10.56µm
_03490_,10.56µm
_00494_,10.54µm
_00604_,10.54µm
_02721_,10.54µm
_02753_,10.54µm
_02909_,10.54µm
_03819_,10.54µm
_04194_,10.54µm
_04606_,10.54µm
_06011_,10.54µm
_01233_,10.52µm
_03075_,10.52µm
_03673_,10.52µm
mac_data_in3\[7\],10.52µm
_00835_,10.5µm
_01519_,10.5µm
_02116_,10.5µm
_02203_,10.5µm
_03842_,10.5µm
_03903_,10.5µm
_04238_,10.5µm
_04294_,10.5µm
_04526_,10.5µm
_05100_,10.5µm
_05372_,10.5µm
_00994_,10.495µm
_05707_,10.48µm
_06130_,10.48µm
_00284_,10.465µm
_00817_,10.46µm
_01532_,10.46µm
_02699_,10.46µm
_03176_,10.46µm
_03876_,10.46µm
_04944_,10.46µm
mac_acc_in3\[4\],10.46µm
_00943_,10.44µm
_02130_,10.44µm
mac_acc_in3\[81\],10.44µm
mac_data_in3\[29\],10.44µm
_01382_,10.42µm
_01453_,10.42µm
_01697_,10.42µm
_01774_,10.42µm
_02628_,10.42µm
_02916_,10.42µm
_03309_,10.42µm
_04453_,10.42µm
_04095_,10.41µm
_00961_,10.4µm
_01440_,10.4µm
_01920_,10.4µm
_03066_,10.4µm
_04532_,10.4µm
_04748_,10.4µm
_05485_,10.4µm
_06291_,10.4µm
_05059_,10.385µm
_00536_,10.38µm
_02555_,10.38µm
_02677_,10.38µm
_02995_,10.38µm
_03486_,10.38µm
_04199_,10.38µm
mac_wt_in2\[25\],10.38µm
_02950_,10.36µm
_03242_,10.36µm
_05056_,10.36µm
_05889_,10.36µm
mac_acc_in3\[10\],10.36µm
_01363_,10.34µm
_04050_,10.34µm
_04235_,10.34µm
_04842_,10.34µm
_06008_,10.34µm
_06143_,10.34µm
net140,10.34µm
_00399_,10.325µm
_01046_,10.32µm
_02711_,10.32µm
_03863_,10.32µm
_04104_,10.32µm
_04461_,10.32µm
_04845_,10.32µm
_06002_,10.32µm
_00047_,10.305µm
_01258_,10.3µm
_01318_,10.3µm
_01376_,10.3µm
_02534_,10.3µm
_02586_,10.3µm
_02975_,10.3µm
_03144_,10.3µm
_04455_,10.3µm
_04785_,10.3µm
_06286_,10.3µm
_00509_,10.28µm
_00526_,10.28µm
_01623_,10.28µm
_01753_,10.28µm
_02963_,10.28µm
_03872_,10.28µm
_05037_,10.28µm
_05708_,10.28µm
_05989_,10.28µm
_06159_,10.28µm
_06231_,10.28µm
_00351_,10.265µm
_01991_,10.26µm
_02020_,10.26µm
_03680_,10.26µm
_03821_,10.26µm
_03898_,10.26µm
_04214_,10.26µm
_05661_,10.26µm
_06265_,10.26µm
_05999_,10.25µm
_00677_,10.24µm
_02028_,10.24µm
_02166_,10.24µm
_02299_,10.24µm
_02827_,10.24µm
_03367_,10.24µm
_03625_,10.24µm
_03897_,10.24µm
_04043_,10.24µm
_04499_,10.24µm
_04290_,10.23µm
_01344_,10.22µm
_01565_,10.22µm
_01998_,10.22µm
_04536_,10.22µm
_00147_,10.205µm
_00815_,10.2µm
_01662_,10.2µm
_01745_,10.2µm
_03030_,10.2µm
_03061_,10.2µm
_03464_,10.2µm
_04375_,10.2µm
_04675_,10.2µm
_04932_,10.2µm
_05970_,10.2µm
_00491_,10.18µm
_01059_,10.18µm
_01090_,10.18µm
_01416_,10.18µm
_01689_,10.18µm
_02112_,10.18µm
_02448_,10.18µm
_02780_,10.18µm
_02946_,10.18µm
_03930_,10.18µm
_04902_,10.18µm
_05120_,10.18µm
_05636_,10.18µm
_06025_,10.18µm
_06295_,10.18µm
_01113_,10.16µm
_01121_,10.16µm
_01621_,10.16µm
_04198_,10.16µm
_04364_,10.16µm
_05474_,10.16µm
_05916_,10.16µm
_00467_,10.14µm
_05428_,10.14µm
_06150_,10.14µm
_02599_,10.12µm
_06161_,10.12µm
_02725_,10.1µm
_03146_,10.1µm
_00911_,10.08µm
_01043_,10.08µm
_01411_,10.08µm
_01552_,10.08µm
_01890_,10.08µm
_03101_,10.08µm
_03596_,10.08µm
_04028_,10.08µm
_04369_,10.08µm
_04515_,10.08µm
_06252_,10.08µm
_01606_,10.06µm
_03442_,10.06µm
net149,10.06µm
_00767_,10.04µm
_00972_,10.04µm
_01152_,10.04µm
_01176_,10.04µm
_01187_,10.04µm
_01402_,10.04µm
_02839_,10.04µm
_02925_,10.04µm
_03767_,10.04µm
_05176_,10.04µm
_05566_,10.04µm
_06041_,10.04µm
_06174_,10.04µm
_06336_,10.04µm
mac_data_in3\[15\],10.04µm
_04376_,10.03µm
_04857_,10.02µm
_05639_,10.02µm
_05286_,10.015µm
_02515_,10µm
_02638_,10µm
_02767_,9.985µm
_02454_,9.98µm
_04838_,9.98µm
_05027_,9.98µm
_06296_,9.98µm
_06393_,9.98µm
net80,9.98µm
_00096_,9.965µm
_00551_,9.96µm
_00626_,9.96µm
_00748_,9.96µm
_01196_,9.96µm
_01479_,9.96µm
_01919_,9.96µm
_02153_,9.96µm
_02822_,9.96µm
_03044_,9.96µm
_03051_,9.96µm
_04179_,9.96µm
_04882_,9.96µm
_05173_,9.96µm
_00066_,9.945µm
_00532_,9.94µm
_00916_,9.94µm
_01112_,9.94µm
_01801_,9.94µm
_01921_,9.94µm
_02453_,9.94µm
_02756_,9.94µm
_04249_,9.94µm
_05736_,9.94µm
_01720_,9.92µm
_06108_,9.92µm
_06223_,9.92µm
_02305_,9.9µm
_03526_,9.9µm
_04013_,9.9µm
_05435_,9.9µm
_05769_,9.9µm
mac_acc_in2\[8\],9.9µm
mac_acc_out3\[78\],9.9µm
_04648_,9.89µm
_01273_,9.88µm
_02660_,9.88µm
_03110_,9.88µm
_03177_,9.88µm
_03563_,9.88µm
_03950_,9.88µm
_04981_,9.88µm
_05944_,9.88µm
acc_out[105],9.88µm
_01776_,9.87µm
_00468_,9.865µm
_00784_,9.86µm
_01678_,9.86µm
_02241_,9.86µm
_03251_,9.86µm
_04897_,9.86µm
_04956_,9.86µm
_05568_,9.86µm
_05907_,9.86µm
_05238_,9.85µm
_00258_,9.845µm
_00555_,9.84µm
_01415_,9.84µm
_01875_,9.84µm
_02587_,9.84µm
_03149_,9.84µm
_03334_,9.84µm
_03540_,9.84µm
_03677_,9.84µm
_04524_,9.84µm
_04928_,9.84µm
_05029_,9.84µm
_05555_,9.84µm
_00915_,9.82µm
_01190_,9.82µm
_02217_,9.82µm
_02234_,9.82µm
_02488_,9.82µm
_02761_,9.82µm
_03303_,9.82µm
_04181_,9.82µm
_04713_,9.82µm
_04723_,9.82µm
_04832_,9.82µm
_05231_,9.82µm
_05359_,9.82µm
_05366_,9.82µm
_05527_,9.82µm
_05770_,9.82µm
_05920_,9.82µm
_06139_,9.82µm
_01021_,9.8µm
_01541_,9.8µm
_02390_,9.8µm
_02817_,9.8µm
_03306_,9.8µm
_04317_,9.8µm
_04427_,9.8µm
_05329_,9.8µm
_05619_,9.8µm
_03584_,9.79µm
_00609_,9.78µm
_01122_,9.78µm
_01457_,9.78µm
_03022_,9.78µm
_04415_,9.78µm
_04548_,9.78µm
_05412_,9.78µm
_05546_,9.78µm
mac_acc_in3\[5\],9.78µm
_01305_,9.77µm
_06057_,9.77µm
_00412_,9.76µm
_02635_,9.76µm
_06092_,9.76µm
_03053_,9.75µm
_04200_,9.745µm
_06074_,9.745µm
_01135_,9.74µm
_01830_,9.74µm
_02250_,9.74µm
_02670_,9.74µm
_03237_,9.74µm
_05632_,9.74µm
_06283_,9.74µm
_06330_,9.74µm
mac_acc_in3\[14\],9.74µm
acc_out[79],9.73µm
net731,9.73µm
_01107_,9.72µm
_01128_,9.72µm
_01579_,9.72µm
_02475_,9.72µm
_02651_,9.72µm
_02797_,9.72µm
_03335_,9.72µm
_03769_,9.72µm
_04483_,9.72µm
_06165_,9.72µm
_02040_,9.71µm
_03651_,9.71µm
_03435_,9.705µm
_04251_,9.705µm
_01084_,9.7µm
_01088_,9.7µm
_01111_,9.7µm
_02592_,9.7µm
_02758_,9.7µm
_02821_,9.7µm
_03504_,9.7µm
_04412_,9.7µm
_04855_,9.7µm
_05215_,9.7µm
_05622_,9.7µm
_05713_,9.7µm
_05754_,9.7µm
_05766_,9.7µm
_01482_,9.695µm
_06014_,9.68µm
_01492_,9.67µm
_03140_,9.67µm
_00898_,9.66µm
_00985_,9.66µm
_01287_,9.66µm
_05617_,9.66µm
_00826_,9.655µm
_05644_,9.655µm
_04216_,9.65µm
net718,9.65µm
_01154_,9.64µm
_04139_,9.64µm
_05997_,9.64µm
wt_arr[25],9.64µm
wt_arr[27],9.64µm
net27,9.64µm
_01066_,9.62µm
_01265_,9.62µm
_01808_,9.62µm
_01856_,9.62µm
_02346_,9.62µm
_02443_,9.62µm
_02490_,9.62µm
_03730_,9.62µm
_04591_,9.62µm
_04638_,9.62µm
_04709_,9.62µm
_05257_,9.62µm
_05313_,9.62µm
_05600_,9.62µm
_00057_,9.605µm
_02289_,9.6µm
_02389_,9.6µm
_03001_,9.6µm
_03256_,9.6µm
_03682_,9.6µm
_04148_,9.6µm
_05341_,9.6µm
_00657_,9.58µm
_01586_,9.58µm
_02161_,9.58µm
_02653_,9.58µm
_02754_,9.58µm
_03150_,9.58µm
_03206_,9.58µm
_03822_,9.58µm
_03829_,9.58µm
_03832_,9.58µm
_03837_,9.58µm
_06080_,9.58µm
_06383_,9.58µm
_01300_,9.56µm
_02350_,9.56µm
data_arr[8],9.56µm
_02044_,9.54µm
_03857_,9.54µm
_05582_,9.54µm
_05586_,9.54µm
_01013_,9.52µm
_03460_,9.52µm
_03488_,9.52µm
_05344_,9.52µm
_05819_,9.52µm
_00500_,9.505µm
_00827_,9.5µm
_01138_,9.5µm
_01809_,9.5µm
_02539_,9.5µm
_02879_,9.5µm
_03107_,9.5µm
_03604_,9.5µm
