net,length_um
mac_wt_in2\[0\],49.88µm
mac_wt_in1\[1\],49.69µm
clknet_leaf_81_clk,49.58µm
net662,49.56µm
_00423_,49.445µm
clknet_leaf_65_clk,49.42µm
_00183_,49.295µm
mac_wt_in2\[4\],49.28µm
mac_acc_in3\[7\],49.24µm
_00291_,49.125µm
net655,49.05µm
_00375_,49.025µm
mac_data_in1\[29\],48.95µm
net408,48.9µm
mac_data_in2\[6\],48.84µm
mac_data_in2\[17\],48.82µm
net163,48.76µm
net308,48.66µm
net332,48.56µm
_00709_,48.48µm
mac_data_in3\[2\],48.36µm
net358,48.345µm
net170,48.28µm
net2,48.18µm
mac_acc_in2\[5\],48.1µm
_00382_,47.905µm
_00182_,47.735µm
clknet_leaf_79_clk,47.7µm
mac_wt_in2\[15\],47.68µm
_00229_,47.665µm
mac_wt_in1\[31\],47.64µm
net362,47.6µm
_03324_,47.58µm
mac_acc_in3\[67\],47.52µm
mac_data_in2\[21\],47.52µm
net356,47.52µm
net535,47.4µm
_00461_,47.305µm
u_MAC24.mac_weight\[2\],47.3µm
net267,47.26µm
_02943_,47.22µm
net352,47.04µm
_00248_,47.02µm
_00410_,46.965µm
_00352_,46.92µm
mac_acc_in2\[69\],46.84µm
u_MAC44.mac_weight\[3\],46.72µm
mac_acc_in2\[6\],46.68µm
mac_data_in2\[5\],46.68µm
_00331_,46.525µm
_00308_,46.465µm
_00460_,46.085µm
_00454_,45.845µm
net270,45.68µm
net460,45.64µm
net845,45.58µm
_00381_,45.385µm
clknet_leaf_72_clk,45.34µm
_00003_,45.3µm
net281,45.11µm
_00447_,44.965µm
net479,44.92µm
_05277_,44.84µm
net676,44.72µm
mac_data_in3\[11\],44.68µm
_00335_,44.645µm
mac_wt_in1\[29\],44.58µm
net227,44.56µm
u_MAC34.mac_weight\[0\],44.54µm
net556,44.42µm
clknet_leaf_83_clk,44.42µm
net167,44.19µm
net633,44.19µm
_00343_,44.105µm
mac_acc_in3\[100\],44µm
u_MAC44.mac_weight\[5\],43.94µm
_00825_,43.78µm
_04851_,43.76µm
mac_data_in1\[18\],43.74µm
mac_data_in3\[30\],43.72µm
_00523_,43.7µm
_00376_,43.66µm
net319,43.66µm
mac_data_in2\[14\],43.62µm
mac_acc_in2\[112\],43.38µm
