Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_139_50,VPWR,li1,29.2100,388.9600,1.799921
FILLER_139_47,VPWR,li1,27.8300,388.9600,1.799934
FILLER_139_44,VPWR,li1,26.4500,388.9600,1.799934
FILLER_139_41,VPWR,li1,25.0700,388.9600,1.799946
FILLER_139_38,VPWR,li1,23.6900,388.9600,1.799946
FILLER_139_35,VPWR,li1,22.3100,388.9600,1.799955
FILLER_139_32,VPWR,li1,20.9300,388.9600,1.799955
FILLER_139_29,VPWR,li1,19.5500,388.9600,1.799955
FILLER_139_27,VPWR,li1,18.1700,388.9600,1.799955
FILLER_139_24,VPWR,li1,17.2500,388.9600,1.799955
FILLER_139_21,VPWR,li1,15.8700,388.9600,1.799955
FILLER_139_18,VPWR,li1,14.4900,388.9600,1.799955
FILLER_139_15,VPWR,li1,13.1100,388.9600,1.799955
FILLER_139_12,VPWR,li1,11.7300,388.9600,1.799955
FILLER_139_9,VPWR,li1,10.3500,388.9600,1.799955
FILLER_139_6,VPWR,li1,8.9700,388.9600,1.799955
FILLER_139_3,VPWR,li1,7.5900,388.9600,1.799955
FILLER_138_828,VPWR,li1,386.8600,388.9600,1.799962
FILLER_138_825,VPWR,li1,385.7100,388.9600,1.799962
FILLER_138_822,VPWR,li1,384.3300,388.9600,1.799962
FILLER_138_819,VPWR,li1,382.9500,388.9600,1.799962
FILLER_138_816,VPWR,li1,381.5700,388.9600,1.799962
FILLER_138_813,VPWR,li1,380.1900,388.9600,1.799962
FILLER_138_811,VPWR,li1,378.8100,388.9600,1.799962
FILLER_138_808,VPWR,li1,377.8900,388.9600,1.799962
FILLER_138_805,VPWR,li1,376.5100,388.9600,1.799962
FILLER_138_802,VPWR,li1,375.1300,388.9600,1.799962
FILLER_138_799,VPWR,li1,373.7500,388.9600,1.799962
FILLER_138_796,VPWR,li1,372.3700,388.9600,1.799962
FILLER_138_793,VPWR,li1,370.9900,388.9600,1.799962
FILLER_138_790,VPWR,li1,369.6100,388.9600,1.799962
FILLER_138_787,VPWR,li1,368.2300,388.9600,1.799962
FILLER_138_784,VPWR,li1,366.8500,388.9600,1.799962
FILLER_138_781,VPWR,li1,365.4700,388.9600,1.799962
FILLER_138_778,VPWR,li1,364.0900,388.9600,1.799962
FILLER_138_775,VPWR,li1,362.7100,388.9600,1.799962
FILLER_138_772,VPWR,li1,361.3300,388.9600,1.799962
FILLER_138_769,VPWR,li1,359.9500,388.9600,1.799962
FILLER_138_766,VPWR,li1,358.5700,388.9600,1.799962
FILLER_138_763,VPWR,li1,357.1900,388.9600,1.799962
FILLER_138_760,VPWR,li1,355.8100,388.9600,1.799962
FILLER_138_757,VPWR,li1,354.4300,388.9600,1.799962
